locationID;placeType;ReviewID;absoluteUrl;text;publishedDate;rating
8742797;ATTRACTION;180782124;https://www.tripadvisor.com/ShowUserReviews-g187497-d8742797-r180782124-Sala_Fundacion_Mapfre_Casa_Garriga_Nogues-Barcelona_Catalonia.html;<pandas.core.strings.StringMethods object at 0x10c4ee090>;2013-10-13;5
8742797;ATTRACTION;157542499;https://www.tripadvisor.com/ShowUserReviews-g187497-d8742797-r157542499-Sala_Fundacion_Mapfre_Casa_Garriga_Nogues-Barcelona_Catalonia.html;<pandas.core.strings.StringMethods object at 0x10c4ee090>;2013-04-12;4
8742797;ATTRACTION;126311420;https://www.tripadvisor.com/ShowUserReviews-g187497-d8742797-r126311420-Sala_Fundacion_Mapfre_Casa_Garriga_Nogues-Barcelona_Catalonia.html;<pandas.core.strings.StringMethods object at 0x10c4ee090>;2012-03-18;4
8742797;ATTRACTION;124348757;https://www.tripadvisor.com/ShowUserReviews-g187497-d8742797-r124348757-Sala_Fundacion_Mapfre_Casa_Garriga_Nogues-Barcelona_Catalonia.html;<pandas.core.strings.StringMethods object at 0x10c4ee090>;2012-02-09;5
1988114;ATTRACTION;723813020;https://www.tripadvisor.com/ShowUserReviews-g187497-d1988114-r723813020-High_Court_of_Justice_of_Catalonia-Barcelona_Catalonia.html;<pandas.core.strings.StringMethods object at 0x10c4ee090>;2019-11-04;4
1988114;ATTRACTION;712671917;https://www.tripadvisor.com/ShowUserReviews-g187497-d1988114-r712671917-High_Court_of_Justice_of_Catalonia-Barcelona_Catalonia.html;<pandas.core.strings.StringMethods object at 0x10c4ee090>;2019-09-24;4
1988114;ATTRACTION;685103963;https://www.tripadvisor.com/ShowUserReviews-g187497-d1988114-r685103963-High_Court_of_Justice_of_Catalonia-Barcelona_Catalonia.html;<pandas.core.strings.StringMethods object at 0x10c4ee090>;2019-06-28;5
1988114;ATTRACTION;656697344;https://www.tripadvisor.com/ShowUserReviews-g187497-d1988114-r656697344-High_Court_of_Justice_of_Catalonia-Barcelona_Catalonia.html;<pandas.core.strings.StringMethods object at 0x10c4ee090>;2019-03-05;4
2623636;ATTRACTION;748047569;https://www.tripadvisor.com/ShowUserReviews-g187497-d2623636-r748047569-Mercat_de_la_Concepcio_Barcelona-Barcelona_Catalonia.html;<pandas.core.strings.StringMethods object at 0x10c4ee090>;2020-02-27;5
2623636;ATTRACTION;724156632;https://www.tripadvisor.com/ShowUserReviews-g187497-d2623636-r724156632-Mercat_de_la_Concepcio_Barcelona-Barcelona_Catalonia.html;<pandas.core.strings.StringMethods object at 0x10c4ee090>;2019-11-05;5
2623636;ATTRACTION;713656551;https://www.tripadvisor.com/ShowUserReviews-g187497-d2623636-r713656551-Mercat_de_la_Concepcio_Barcelona-Barcelona_Catalonia.html;<pandas.core.strings.StringMethods object at 0x10c4ee090>;2019-09-28;4
2623636;ATTRACTION;706097364;https://www.tripadvisor.com/ShowUserReviews-g187497-d2623636-r706097364-Mercat_de_la_Concepcio_Barcelona-Barcelona_Catalonia.html;<pandas.core.strings.StringMethods object at 0x10c4ee090>;2019-09-03;5
2623636;ATTRACTION;705103549;https://www.tripadvisor.com/ShowUserReviews-g187497-d2623636-r705103549-Mercat_de_la_Concepcio_Barcelona-Barcelona_Catalonia.html;<pandas.core.strings.StringMethods object at 0x10c4ee090>;2019-08-31;5
2623636;ATTRACTION;694431396;https://www.tripadvisor.com/ShowUserReviews-g187497-d2623636-r694431396-Mercat_de_la_Concepcio_Barcelona-Barcelona_Catalonia.html;<pandas.core.strings.StringMethods object at 0x10c4ee090>;2019-07-31;4
2623636;ATTRACTION;662547003;https://www.tripadvisor.com/ShowUserReviews-g187497-d2623636-r662547003-Mercat_de_la_Concepcio_Barcelona-Barcelona_Catalonia.html;<pandas.core.strings.StringMethods object at 0x10c4ee090>;2019-03-31;4
2623636;ATTRACTION;655517063;https://www.tripadvisor.com/ShowUserReviews-g187497-d2623636-r655517063-Mercat_de_la_Concepcio_Barcelona-Barcelona_Catalonia.html;<pandas.core.strings.StringMethods object at 0x10c4ee090>;2019-02-28;4
2623636;ATTRACTION;625960450;https://www.tripadvisor.com/ShowUserReviews-g187497-d2623636-r625960450-Mercat_de_la_Concepcio_Barcelona-Barcelona_Catalonia.html;<pandas.core.strings.StringMethods object at 0x10c4ee090>;2018-10-17;5
