"location__name","location__url","location__locationId","totalReviews","avgReviews","minTicketPriceInfo","minTicketPriceInfo__price","minTicketPriceInfo__priceCurrency","ranking__value"
"Mercat Santa Caterina","https://www.tripadvisor.com/Attraction_Review-g187497-d2015831-Reviews-Mercat_Santa_Caterina-Barcelona_Catalonia.html","2015831","872","4.5","null","","","56"
"Barri de Gracia","https://www.tripadvisor.com/Attraction_Review-g187497-d271008-Reviews-Barri_de_Gracia-Barcelona_Catalonia.html","271008","1223","4.5","null","","","32"
"Montjuic Castle","https://www.tripadvisor.com/Attraction_Review-g187497-d2165013-Reviews-Montjuic_Castle-Barcelona_Catalonia.html","2165013","3768","4.0","null","","","84"
"Hash Marihuana & Hemp Museum","https://www.tripadvisor.com/Attraction_Review-g187497-d3240045-Reviews-Hash_Marihuana_Hemp_Museum-Barcelona_Catalonia.html","3240045","763","4.5","","12.420000076293945","EUR","21"
"Arc de Triomf","https://www.tripadvisor.com/Attraction_Review-g187497-d243171-Reviews-Arc_de_Triomf-Barcelona_Catalonia.html","243171","2986","4.0","null","","","77"
"Museu d'Història de Catalunya","https://www.tripadvisor.com/Attraction_Review-g187497-d246512-Reviews-Museu_d_Historia_de_Catalunya-Barcelona_Catalonia.html","246512","805","4.5","","8.279999732971191","EUR","55"
"Port Vell","https://www.tripadvisor.com/Attraction_Review-g187497-d191047-Reviews-Port_Vell-Barcelona_Catalonia.html","191047","1291","4.5","null","","","61"
"Plaza de Cataluna","https://www.tripadvisor.com/Attraction_Review-g187497-d208598-Reviews-Plaza_de_Cataluna-Barcelona_Catalonia.html","208598","4979","4.0","null","","","88"
"La Barceloneta","https://www.tripadvisor.com/Attraction_Review-g187497-d265458-Reviews-La_Barceloneta-Barcelona_Catalonia.html","265458","2031","4.0","null","","","60"
"Reial Monestir de Santa Maria de Pedralbes","https://www.tripadvisor.com/Attraction_Review-g187497-d2223690-Reviews-Reial_Monestir_de_Santa_Maria_de_Pedralbes-Barcelona_Catalonia.html","2223690","664","4.5","null","","","24"
"Parque del Laberint d'Horta","https://www.tripadvisor.com/Attraction_Review-g187497-d2394734-Reviews-Parque_del_Laberint_d_Horta-Barcelona_Catalonia.html","2394734","1428","4.5","null","","","80"
"Torre Bellesguard","https://www.tripadvisor.com/Attraction_Review-g187497-d4609101-Reviews-Torre_Bellesguard-Barcelona_Catalonia.html","4609101","328","4.5","","13.460000038146973","EUR","31"
"Mirador de Colom","https://www.tripadvisor.com/Attraction_Review-g187497-d246168-Reviews-Mirador_de_Colom-Barcelona_Catalonia.html","246168","2273","4.0","","6.210000038146973","EUR","97"
"Mercat de la Barceloneta","https://www.tripadvisor.com/Attraction_Review-g187497-d3468814-Reviews-Mercat_de_la_Barceloneta-Barcelona_Catalonia.html","3468814","450","4.5","null","","","36"
"Antic Hospital de la Santa Creu","https://www.tripadvisor.com/Attraction_Review-g187497-d8398821-Reviews-Antic_Hospital_de_la_Santa_Creu-Barcelona_Catalonia.html","8398821","208","4.5","null","","","33"
"Las Ramblas","https://www.tripadvisor.com/Attraction_Review-g187497-d190163-Reviews-Las_Ramblas-Barcelona_Catalonia.html","190163","38076","4.0","","31.079999923706055","EUR","27"
"Museu Maritim de Barcelona","https://www.tripadvisor.com/Attraction_Review-g187497-d244200-Reviews-Museu_Maritim_de_Barcelona-Barcelona_Catalonia.html","244200","889","4.0","null","","","82"
"Playa de La Barceloneta","https://www.tripadvisor.com/Attraction_Review-g187497-d2645511-Reviews-Playa_de_La_Barceloneta-Barcelona_Catalonia.html","2645511","9315","4.0","null","","","95"
"CaixaForum","https://www.tripadvisor.com/Attraction_Review-g187497-d257528-Reviews-CaixaForum-Barcelona_Catalonia.html","257528","707","4.5","null","","","45"
"Cascada Monumental","https://www.tripadvisor.com/Attraction_Review-g187497-d7785899-Reviews-Cascada_Monumental-Barcelona_Catalonia.html","7785899","485","4.5","null","","","40"
"Gran Teatre del Liceu","https://www.tripadvisor.com/Attraction_Review-g187497-d195252-Reviews-Gran_Teatre_del_Liceu-Barcelona_Catalonia.html","195252","687","4.5","null","","","43"
"MEAM Museu Europeu d'Art Modern","https://www.tripadvisor.com/Attraction_Review-g187497-d2223636-Reviews-MEAM_Museu_Europeu_d_Art_Modern-Barcelona_Catalonia.html","2223636","378","4.5","","9.319999694824219","EUR","41"
"Rambla de Catalunya","https://www.tripadvisor.com/Attraction_Review-g187497-d7175292-Reviews-Rambla_de_Catalunya-Barcelona_Catalonia.html","7175292","1025","4.0","null","","","79"
"Rambla del Mar","https://www.tripadvisor.com/Attraction_Review-g187497-d3782382-Reviews-Rambla_del_Mar-Barcelona_Catalonia.html","3782382","981","4.0","null","","","68"
