ID,tagsID
190166,9577843435
190162,5005303368
191052,2703301249
190824,2666063943
190629,8171504636
271009,7590257550
190164,7144803569
246171,4343156310
1192272,8370037225
257527,8742784519
191048,9010200960
501696,4561158865
2359212,4563119320
244211,6467708019
531598,8174863304
254723,7063582769
295879,6143441923
246511,2243949848
319140,5905368619
190637,4364310042
254718,2771840848
591343,5441731955
3224257,7975155666
251997,2282027545
190624,9905031321
190165,3015364118
244210,5708024003
313695,3253996187
208597,5654125369
2717850,4910346016
244194,7931812295
195113,3291143831
2015831,7412642125
271008,4287733501
2165013,5489725702
3240045,1601149909
243171,1127995867
246512,9087962315
191047,2924060235
208598,4831694379
265458,2621712414
2223690,3312516455
2394734,2551604281
4609101,3452463100
246168,5837485578
3468814,8077029767
8398821,6815124120
190163,2531292064
244200,4233201345
2645511,5345086104
257528,5611901570
7785899,4379930844
195252,5045158889
2223636,2294333494
7175292,5951795882
3782382,3485213814
2067434,1038689046
1893220,8340281741
195124,7316354162
6453867,8578867381
4106898,3007436298
6417067,2155350711
10592746,8867059768
592217,7662889877
244195,7324232147
15056638,8485117937
4945354,2994202740
7052313,7477873848
2272433,1211760123
4660265,7523462082
244199,6997119908
8564136,5756097784
240755,7484585768
4469233,5733634779
7132622,6535000945
6495421,5156102094
3139265,6490337623
3954329,2003401116
244821,9983166509
4722328,8786754111
7208916,8376140765
4027803,7927559298
265457,2833563731
244218,4229269814
8489665,2837441277
2235343,2839888439
3467712,1658583774
254719,9230917731
8036442,4358486024
2690761,3647112653
2366700,9744550991
240766,8105266496
246190,1557356243
2223604,2264264305
313685,2179591951
313686,9907629019
243174,2282821875
1809020,5216612640
244208,4261378259
7021032,8091508830
7810574,9760373935
7820170,7250390615
7694897,3284177194
2485623,1627205858
619690,1926210880
7175296,4936095732
12847550,8577360028
6206152,5613904842
12606976,5704789830
190623,5991634662
6401014,2530999856
2623636,9999278526
190634,1615309929
7914040,4606248723
6034377,7971986544
597513,2393792051
8820217,4129130192
2328556,4973704206
3410795,6169037455
7984164,5329338677
10230999,4978646009
7363048,5398482988
244855,7236299414
240500,2582166540
2223655,3616524091
4123720,9739604428
8865719,9644535078
6214229,9423793477
7102217,1452651973
2625535,7455661876
3360600,9098976283
13970378,1102581398
591146,2487297831
4597992,9375372230
7687719,6641915556
1553048,2068159225
7981033,6305437065
7148963,8795795385
4752371,3336020845
531612,3529048268
8782951,9796680554
12674080,1213507184
7804964,2715475614
244201,4725959097
8866286,6388907266
4414261,5648249437
13154025,1677556845
11793916,2493317250
7376615,8290747769
8702700,1320936676
6116743,1156636178
7106610,8685413798
4310632,9609963368
12352056,6429711847
8646729,3007370239
4764185,6840366082
12661256,9689443531
10467498,7706415162
10223979,2808502309
6116899,8235679469
2321733,2176392938
2487738,9727185508
4346018,9660641627
4960182,6578304486
2577943,9948763419
10538518,1190148069
8692632,2906140774
244202,9672907998
2223602,5582867762
528113,8027814672
3929138,9780708200
6942942,4715531696
7161481,9903996823
8742797,1804784871
244903,3243203729
7190997,8932900299
6847808,8897497425
9566855,5893170553
2449596,3006116153
11729063,1939235918
7152939,7357746385
9882566,1038279669
5542130,8186112845
244206,1238195972
10365279,1676799350
6517023,2371055747
244197,1934152032
10296722,6154858383
8434367,3922467834
1191660,1621447007
10023525,1207446972
4597443,2687665598
9582536,5299319300
10713149,9793164838
4002311,5164247848
8471899,6600115205
8476175,6267612521
4234451,7496832542
3226916,5491080515
2295948,3379549980
10538454,7061721024
11930470,9444105693
3270333,3831242292
313693,7774363640
8614393,3061854570
2531489,3094115985
3467639,2184749118
10691974,3777786910
8736807,9073907606
6412469,3000628852
8332676,8408733206
658750,7395237661
243179,9970538527
8670722,6006598882
